Category: All categories

City,Border: (1/1/04 - 5/7/25)
Blaine,
Birch Bay,
San Luis,
Calexico,
Heber,
Lynden,
Rio Rico,
Bellingham,100
Marietta-Alderwood,84
Imperial,
Fortuna Foothills,
Burlington,
Model City,
Somerton,
Niagara Falls,
South Padre Island,
Chula Vista,58
Brawley,
Sedro-Woolley,
McAllen,49
Whitefish,
Wheatfield,
Jamul,
Eagle Pass,
Green Valley,
Sault Ste. Marie,
La Presa,
Combes,
Brownsville,
Plattsburgh,
North Marysville,
Jordan Road-Canyon Creek,
Laredo,
Getzville,
El Paso,32
Cheektowaga,
Casa de Oro-Mount Helix,
Mission,
Sahuarita,
San Diego,30
Horizon City,
Arlington Heights,
Lake Forest Park,29
Grand Forks,
Edinburg,
El Cajon,
Escondido,
Mercer Island,
Kenmore,
Potsdam,
Bellevue,25
Sierra Vista,
Weslaco,
North Tonawanda,
Encinitas,
Las Cruces,
Buffalo,25
Oceanside,
Bothell,
La Mesa,
Coachella,
Everett,
Great Falls,
Marana,
Watertown,
Tucson,24
Harlingen,
Valley Center,
Edmonds,
Cathedral City,
Buckeye,
Catalina Foothills,
Sammamish,
San Marcos,
Burlington,
Mesquite,
Kirkland,
Apache Junction,
Casas Adobes,
Vista,
Perris,
Post Falls,
Carlsbad,
Novi,
Burien,
Lynnwood,
Santee,
Renton,
Flagstaff,
Coronado,
Mesa,20
Ellensburg,
Stephenville,
West Seneca,
Fountain Hills,
Auburn,
Coalville,
Bozeman,
Seattle,20
Canton,
Glendale,
Redmond,
Shoreline,
SeaTac,
Goodyear,
Prescott Valley,
Canyon Lake,
Arlington,19
Palm Desert,
Missoula,
Menifee,
Avondale,
East Wenatchee,
Palm Springs,
Surprise,
Gig Harbor,
Sun Lakes,
Coto de Caza,
Phoenix,19
Peoria,
Scottsdale,18
Dana Point,
San Tan Valley,
Minetto,
South Burlington,
Lake Elsinore,
Spokane,18
Santa Fe,
Anchorage,18
Orion charter Township,
Allen,
Plymouth Charter Township,
Murrieta,
Sterling Heights,
San Clemente,
Rochester Hills,
Gilbert,
Brighton,
Chandler,
Pasco,
Shelby charter Township,
Moreno Valley,
Tustin,
Bangor,
Walla Walla,
Federal Way,
Prescott,
Ferris,
Duluth,
Smyrna,
White Bear Lake,
Plainfield charter Township,
San Marcos,
Dearborn,
Fargo,
Golden Valley,
Tempe,17
The Woodlands,
Grafton,
Fontana,
Troy,
College Station,
Cypress,
Santa Ana,17
Oxnard,
DeCordova,
Laramie,
Albuquerque,17
Compton,
Simsbury,
Lacey,
Cedar Park,
Pasadena,
Cumberland,
Nampa,
Eden Prairie,
Tacoma,17
Odessa,
Mission Viejo,
Gates-North Gates,
Charter Township of Clinton,
Friendswood,
Pomona,
Huntington Beach,
Pullman,
Provo,
Austin,16
Hillsboro,
Lyman,
East Los Angeles,
South Gate,
Lockwood,
Hyattsville,16
West Bloomfield Township,
Amarillo,
Livermore,
Richland,
Farmington Hills,
Bend,
Queen Creek,
