Category: All categories

City,Mexico-United States border: (1/1/04 - 5/7/25)
Gila Bend,
South Padre Island,
Rio Rico,
San Luis,
Fortuna Foothills,100
Los Fresnos,
Sierra Vista Southeast,
Sunland Park,
Heber,
El Centro,
Eagle Pass,
Del Rio,
Somerton,
Brawley,
Imperial,
Sierra Vista,
Drexel Heights,
Sahuarita,
Picture Rocks,
Weslaco,
Edinburg,
Marana,
Chula Vista,41
Mission,
San Juan,
Agua Dulce,
Casa Grande,
Combes,
La Presa,
El Paso,39
Catalina Foothills,
Aubrey,
Florence,
Mesquite,
Casa de Oro-Mount Helix,
Mercedes,
Casas Adobes,
Coachella,
Oro Valley,
University Park,
San Diego,37
Buckeye,
Harlingen,
Las Cruces,
Maricopa,
Brownsville,
Wareham,
Laredo,
San Benito,
Tucson,35
Horizon City,
Lemon Grove,
Sweetwater,
Payson,
Apache Junction,
Patterson,
Sun Lakes,
Coronado,
Kingsville,
La Mesa,
Lake Havasu City,
Cathedral City,
Sun City,
Thermal,
Escondido,
Goodyear,
Valley Center,
San Tan Valley,
Bullhead City,
Lucerne Valley,
Sedona,
Gallup,
McAllen,27
Ramona,
Santee,
Avondale,
Flagstaff,
El Cajon,
East Los Angeles,
Alamogordo,
New River,
Surprise,
Oceanside,
Encinitas,
San Clemente,
Glendale,26
Vista,
Lake Elsinore,
Spring Branch,
Phoenix,25
Lake Arrowhead,
Perris,
San Marcos,
Los Banos,
Roswell,
Prescott,
South Whittier,
Santa Fe,
Palm Springs,
Carlsbad,24
South Gate,
Queen Creek,
Pico Rivera,
Rancho Mirage,
Peoria,
Winchester,
Bell Gardens,
Dodge City,
Moreno Valley,
Jurupa Valley,
Coto de Caza,
Seguin,
Athens,
Rialto,
Palm Desert,
Dripping Springs,
San Bernardino,22
Kingman,
Bulverde,
Mesa,21
Chandler,21
Delano,
Northlake,
Odessa,
Mannington Township,
Pasadena,
Victoria,
Huntington Park,
Oxnard,
Tustin,
Pomona,
Gilbert,21
Downey,
Montebello,
Cypress,20
Menifee,
Levelland,
Moss Landing,
Taylor,
Hesperia,
San Marcos,
La Puente,
Villa Park,
Cibolo,
Goleta,
Compton,
Hemet,
Corpus Christi,20
Los Alamos,
Sunrise Manor,
Santa Fe Springs,
El Monte,
Universal City,
Claremont,
Scottsdale,19
Fontana,
Midland,
Bonney,
Baytown,
Canyon Lake,
Salinas,
Murrieta,
Bellflower,
Tempe,19
Knights Landing,
Dana Point,
Temecula,
Baldwin Park,
San Angelo,
Jordan Road-Canyon Creek,
Ontario,
Rosenberg,
San Antonio,18
Ventura,
Montclair,
Seaside,
Tulare,
Vineyard,
Springdale,
Farmington,
University Park,
Medley,
Mesquite,
Corinth,
Norwalk,
Hurst,
Anaheim,17
Greeley,
Carson,
Riverside,17
Covina,
Kendale Lakes,
Leander,
Santa Ana,17
Morgan's Point Resort,
Galveston,
Costa Mesa,
Chino,
Palmdale,
Whittier,
