City,Immigration: (11/4/08 - 11/6/12)
Pawnee,
Elmsford,
Elon,
Potomac,
Edinburg,
Rexburg,
Elizabeth,
Northfield,
Newark,
New Oxford,
Paterson,
Revere,
Yorkville,
Mission,
Grinnell,
Brentwood,
Pharr,
Hyattsville,
Mamaroneck,
Harlingen,
Edison,
Union City,
Newark,100
Hempstead,
Merrifield,
Seaside,
Fairfax,
El Monte,
Normal,
Piscataway Township,
Marion,
Miami,95
Sayreville,
Annandale,
Hayward,
Lake Worth,
Niles,
Key West,
Yakima,
College Park,
Jersey City,92
Hackensack,
Lynn,
Central Islip,
Hialeah,90
Malden,
Richmond,
East Orange,
Compton,
Irvine,90
El Paso,90
Lake Forest,
Teaneck,
Pompano Beach,
Las Cruces,
Carson,
Roslyn Heights,
Princeton,
New Rochelle,
Plainview,
McAllen,
North Bergen,
Hallandale Beach,
Yonkers,
Laredo,
Homestead,
Islip,
Garden City,
Manassas,
Glassboro,
Claremont,
New Paltz,
Babylon,
Silver Spring,
Washington,86
Ormond Beach,
Marlborough,
Framingham,
Madison,
Everett,
New Brunswick,
South Gate,
McLean,
Bridgeport,
Greeley,
North Miami Beach,
Clifton,
Opa-locka,
Flagstaff,
Oakland,84
Woodbridge,
Union,
Rockville,84
Stanford,
La Puente,
Delray Beach,83
Deerfield Beach,
Miami Beach,
Freeport,
Goodyear,
Frankfort,
Danbury,
Medford,
Lynbrook,
Pittsburg,
Eatontown,
Avondale,
Mount Prospect,
Pomona,
Mahwah,
Roslyn,
Naples,
Passaic,
Saugus,
Minden,
Hightstown,
Stony Brook,
Somerville,
Hollywood,
Pleasanton,80
Alexandria,80
Arlington,80
Hacienda Heights,
West Covina,
Gaithersburg,
Shrewsbury,
White Plains,
Bayonne,
Hamden,
Fullerton,
Poughkeepsie,
Dumfries,
Beltsville,
Harrison,
Huntington Park,
Hicksville,
Falls Church,
Albany,78
Monterey Park,
Germantown,
Salem,
El Centro,
Nantucket,
Arlington Heights,
San Marcos,
Bergenfield,
Warren,
Ossining,
Kensington,
Sugar Land,
San Bernardino,
West Palm Beach,
Whittier,
Valley Stream,
New York,76
Pima,
Cypress,
Weston,
San Diego,75
Provo,
West Chicago,
Santa Fe Springs,
Saint James,
Owings Mills,
Fontana,
Suwanee,
Secaucus,
Nanuet,
Davis,
Fort Lauderdale,74
Key Biscayne,
Daly City,
Visalia,
Santa Maria,
Williamsburg,
Atlantic City,
Freehold,
Cerritos,
Phoenix,73
San Jose,73
Lilburn,
Duluth,
Coram,
Waltham,
Evanston,
Downey,
Los Angeles,72
Northampton,
Katy,
Newberg,
West Orange,
Kennesaw,
Coronado,
Mesquite,
Tucson,72
Oneonta,
Bay Shore,
Snellville,
Berkeley,72
Tarrytown,
