Category: All categories

DMA,cbp one: (1/1/04 - 5/7/25)
Harlingen-Weslaco-Brownsville-McAllen TX,100
Laredo TX,32
Yuma AZ-El Centro CA,18
Odessa-Midland TX,15
Miami-Ft. Lauderdale FL,15
El Paso TX,13
Ft. Myers-Naples FL,12
West Palm Beach-Ft. Pierce FL,8
Amarillo TX,6
Orlando-Daytona Beach-Melbourne FL,5
San Antonio TX,5
Tampa-St. Petersburg (Sarasota) FL,5
Louisville KY,5
Houston TX,5
Palm Springs CA,5
Tucson (Sierra Vista) AZ,5
Austin TX,5
Twin Falls ID,4
Las Vegas NV,4
San Diego CA,4
Bakersfield CA,4
Salt Lake City UT,4
Beaumont-Port Arthur TX,4
Jacksonville FL,4
Dallas-Ft. Worth TX,4
Corpus Christi TX,3
Yakima-Pasco-Richland-Kennewick WA,3
Ft. Smith-Fayetteville-Springdale-Rogers AR,3
Fresno-Visalia CA,3
Harrisonburg VA,3
Lake Charles LA,3
South Bend-Elkhart IN,3
Panama City FL,2
Albuquerque-Santa Fe NM,2
Denver CO,2
Washington DC (Hagerstown MD),2
Salisbury MD,2
Wichita-Hutchinson KS,2
Savannah GA,2
Atlanta GA,2
Phoenix AZ,2
Lincoln & Hastings-Kearney NE,2
Nashville TN,2
New York NY,2
Sioux City IA,2
Waco-Temple-Bryan TX,2
Monterey-Salinas CA,2
Indianapolis IN,2
Los Angeles CA,2
Charlotte NC,2
Charleston SC,2
Reno NV,2
New Orleans LA,2
Chicago IL,2
Raleigh-Durham (Fayetteville) NC,2
Sacramento-Stockton-Modesto CA,2
Rockford IL,2
Memphis TN,2
Knoxville TN,2
Santa Barbara-Santa Maria-San Luis Obispo CA,2
Charlottesville VA,2
Tyler-Longview(Lufkin & Nacogdoches) TX,2
Dothan AL,2
Omaha NE,2
Fargo-Valley City ND,2
Seattle-Tacoma WA,2
Idaho Falls-Pocatello ID,2
Lafayette LA,2
Chattanooga TN,2
Tulsa OK,2
