Category: All categories

DMA,Mexico-United States border: (1/1/04 - 5/7/25)
Yuma AZ-El Centro CA,100
Tucson (Sierra Vista) AZ,51
El Paso TX,47
San Diego CA,45
Harlingen-Weslaco-Brownsville-McAllen TX,43
Laredo TX,42
Phoenix AZ,32
Odessa-Midland TX,30
Palm Springs CA,29
San Angelo TX,28
Victoria TX,27
Corpus Christi TX,26
Albuquerque-Santa Fe NM,25
San Antonio TX,24
Amarillo TX,22
Austin TX,22
Lubbock TX,20
Bakersfield CA,20
Twin Falls ID,19
Los Angeles CA,19
Houston TX,19
Waco-Temple-Bryan TX,19
Monterey-Salinas CA,18
Dallas-Ft. Worth TX,18
Fresno-Visalia CA,18
Grand Junction-Montrose CO,17
Abilene-Sweetwater TX,17
Las Vegas NV,17
Sherman TX-Ada OK,17
Tyler-Longview(Lufkin & Nacogdoches) TX,17
Wichita Falls TX & Lawton OK,17
Yakima-Pasco-Richland-Kennewick WA,17
Eureka CA,16
Beaumont-Port Arthur TX,16
Santa Barbara-Santa Maria-San Luis Obispo CA,16
Idaho Falls-Pocatello ID,16
Medford-Klamath Falls OR,15
Sacramento-Stockton-Modesto CA,15
Juneau AK,15
North Platte NE,15
Chico-Redding CA,15
Rapid City SD,14
Sioux City IA,14
Missoula MT,14
Great Falls MT,14
Reno NV,14
Denver CO,14
Joplin MO-Pittsburg KS,13
Presque Isle ME,13
Butte-Bozeman MT,13
Cheyenne WY-Scottsbluff NE,13
Bend OR,13
Salt Lake City UT,13
Minot-Bismarck-Dickinson(Williston) ND,13
Colorado Springs-Pueblo CO,13
Lake Charles LA,13
Fargo-Valley City ND,13
Alpena MI,13
Ft. Smith-Fayetteville-Springdale-Rogers AR,13
Eugene OR,13
Oklahoma City OK,13
Mankato MN,12
San Francisco-Oakland-San Jose CA,12
Seattle-Tacoma WA,12
Sioux Falls(Mitchell) SD,12
St. Joseph MO,12
Boise ID,12
Wichita-Hutchinson KS,12
Topeka KS,12
Casper-Riverton WY,12
Lincoln & Hastings-Kearney NE,12
"Billings, MT",12
Spokane WA,12
Miami-Ft. Lauderdale FL,11
Davenport IA-Rock Island-Moline IL,11
Shreveport LA,11
Fairbanks AK,11
Helena MT,11
Jonesboro AR,11
Anchorage AK,11
Wausau-Rhinelander WI,11
Tulsa OK,11
Ft. Myers-Naples FL,11
Minneapolis-St. Paul MN,11
Quincy IL-Hannibal MO-Keokuk IA,11
Grand Rapids-Kalamazoo-Battle Creek MI,11
Rochester MN-Mason City IA-Austin MN,11
La Crosse-Eau Claire WI,11
Springfield MO,11
Chicago IL,10
Portland OR,10
South Bend-Elkhart IN,10
Harrisonburg VA,10
Rockford IL,10
Watertown NY,10
Cedar Rapids-Waterloo-Iowa City & Dubuque IA,10
Kansas City MO,10
Green Bay-Appleton WI,10
Paducah KY-Cape Girardeau MO-Harrisburg-Mount Vernon IL,10
Alexandria LA,10
Columbia-Jefferson City MO,10
Tampa-St. Petersburg (Sarasota) FL,10
Des Moines-Ames IA,10
Duluth MN-Superior WI,10
Traverse City-Cadillac MI,10
Marquette MI,10
Burlington VT-Plattsburgh NY,10
Ft. Wayne IN,10
Washington DC (Hagerstown MD),10
Omaha NE,10
Little Rock-Pine Bluff AR,10
Bangor ME,10
Ottumwa IA-Kirksville MO,10
West Palm Beach-Ft. Pierce FL,10
Lansing MI,10
Chattanooga TN,10
Elmira NY,10
Biloxi-Gulfport MS,9
Hartford & New Haven CT,9
Milwaukee WI,9
Nashville TN,9
Panama City FL,9
Florence-Myrtle Beach SC,9
Huntsville-Decatur (Florence) AL,9
Champaign & Springfield-Decatur IL,9
Evansville IN,9
Lafayette LA,9
Greenville-Spartanburg SC-Asheville NC-Anderson SC,9
Orlando-Daytona Beach-Melbourne FL,9
Charleston SC,9
Charlotte NC,9
Monroe LA-El Dorado AR,9
Peoria-Bloomington IL,9
Raleigh-Durham (Fayetteville) NC,9
Detroit MI,9
Springfield-Holyoke MA,9
Columbus-Tupelo-West Point MS,9
Indianapolis IN,9
Utica NY,9
Boston MA-Manchester NH,9
Columbus OH,9
Erie PA,9
St. Louis MO,9
New York NY,9
Terre Haute IN,9
Greenville-New Bern-Washington NC,9
Jackson TN,8
Flint-Saginaw-Bay City MI,8
Youngstown OH,8
Atlanta GA,8
Toledo OH,8
Cincinnati OH,8
Meridian MS,8
Wilmington NC,8
Baton Rouge LA,8
Philadelphia PA,8
Montgomery (Selma) AL,8
Portland-Auburn ME,8
Clarksburg-Weston WV,8
Albany GA,8
Lima OH,8
Johnstown-Altoona PA,8
Bowling Green KY,8
Lafayette IN,8
Pittsburgh PA,8
Salisbury MD,8
Tri-Cities TN-VA,8
Savannah GA,8
Lexington KY,8
Dothan AL,8
Syracuse NY,8
Dayton OH,8
Tallahassee FL-Thomasville GA,8
Columbus GA,8
Charleston-Huntington WV,8
Gainesville FL,8
Buffalo NY,8
Columbia SC,8
Hattiesburg-Laurel MS,8
Louisville KY,8
Knoxville TN,8
Wheeling WV-Steubenville OH,8
Wilkes Barre-Scranton PA,8
New Orleans LA,8
Jackson MS,8
Mobile AL-Pensacola (Ft. Walton Beach) FL,8
Baltimore MD,8
Providence RI-New Bedford MA,8
Madison WI,8
Harrisburg-Lancaster-Lebanon-York PA,8
Jacksonville FL,8
Cleveland-Akron (Canton) OH,8
Charlottesville VA,8
Birmingham AL,8
Greensboro-High Point-Winston Salem NC,8
Zanesville OH,7
Macon GA,7
Binghamton NY,7
Memphis TN,7
Rochester NY,7
Greenwood-Greenville MS,7
Honolulu HI,7
Albany-Schenectady-Troy NY,7
Augusta GA,7
Norfolk-Portsmouth-Newport News VA,7
Bluefield-Beckley-Oak Hill WV,7
Richmond-Petersburg VA,7
Parkersburg WV,7
Roanoke-Lynchburg VA,6
Glendive MT,
