DMA,Immigration: (11/8/20 - 11/8/21)
Miami-Ft. Lauderdale FL,100
El Paso TX,90
Harlingen-Weslaco-Brownsville-McAllen TX,86
Houston TX,83
Washington DC (Hagerstown MD),82
Laredo TX,80
New York NY,79
San Francisco-Oakland-San Jose CA,78
Boston MA-Manchester NH,74
Los Angeles CA,73
West Palm Beach-Ft. Pierce FL,73
San Diego CA,70
Yuma AZ-El Centro CA,68
Yakima-Pasco-Richland-Kennewick WA,68
Fresno-Visalia CA,67
Odessa-Midland TX,63
Ft. Myers-Naples FL,62
Dallas-Ft. Worth TX,62
Austin TX,62
Bakersfield CA,62
Palm Springs CA,61
Sacramento-Stockton-Modesto CA,61
Tucson (Sierra Vista) AZ,61
Chicago IL,60
Orlando-Daytona Beach-Melbourne FL,60
Seattle-Tacoma WA,59
San Antonio TX,58
Monterey-Salinas CA,58
Las Vegas NV,57
Baltimore MD,57
Santa Barbara-Santa Maria-San Luis Obispo CA,56
Lafayette IN,55
Providence RI-New Bedford MA,54
Hartford & New Haven CT,54
Lubbock TX,53
Tampa-St. Petersburg (Sarasota) FL,53
Atlanta GA,51
Philadelphia PA,51
Gainesville FL,51
Sioux City IA,51
Phoenix AZ,50
Harrisonburg VA,50
Abilene-Sweetwater TX,49
Amarillo TX,49
Reno NV,49
Denver CO,48
Minneapolis-St. Paul MN,47
Victoria TX,47
Charlottesville VA,47
Waco-Temple-Bryan TX,46
Jacksonville FL,46
Beaumont-Port Arthur TX,46
Columbus OH,45
Raleigh-Durham (Fayetteville) NC,45
Twin Falls ID,45
Albuquerque-Santa Fe NM,45
Corpus Christi TX,44
Portland OR,44
Charlotte NC,43
San Angelo TX,43
Oklahoma City OK,42
Tallahassee FL-Thomasville GA,42
Salt Lake City UT,42
Detroit MI,42
Salisbury MD,42
Panama City FL,42
Greensboro-High Point-Winston Salem NC,41
Lincoln & Hastings-Kearney NE,41
Tyler-Longview(Lufkin & Nacogdoches) TX,41
Indianapolis IN,41
Wichita-Hutchinson KS,41
Juneau AK,40
Springfield-Holyoke MA,40
Ft. Smith-Fayetteville-Springdale-Rogers AR,40
Idaho Falls-Pocatello ID,40
Honolulu HI,40
