Category: All categories

DMA,Border: (1/1/04 - 5/7/25)
Yuma AZ-El Centro CA,100
Great Falls MT,37
Harlingen-Weslaco-Brownsville-McAllen TX,36
Laredo TX,35
Presque Isle ME,35
El Paso TX,34
San Diego CA,32
Watertown NY,30
Tucson (Sierra Vista) AZ,30
Glendive MT,30
Buffalo NY,29
Burlington VT-Plattsburgh NY,28
Missoula MT,27
Seattle-Tacoma WA,27
Fairbanks AK,27
Palm Springs CA,25
Fargo-Valley City ND,24
Bangor ME,24
Juneau AK,23
Spokane WA,23
Minot-Bismarck-Dickinson(Williston) ND,23
Duluth MN-Superior WI,22
Butte-Bozeman MT,22
Helena MT,22
Idaho Falls-Pocatello ID,21
Anchorage AK,21
Twin Falls ID,21
Phoenix AZ,21
Odessa-Midland TX,21
Amarillo TX,20
Yakima-Pasco-Richland-Kennewick WA,20
Medford-Klamath Falls OR,20
"Billings, MT",19
San Angelo TX,19
Rochester NY,19
Albuquerque-Santa Fe NM,19
Grand Junction-Montrose CO,18
Rapid City SD,18
Eugene OR,18
Traverse City-Cadillac MI,18
Bend OR,18
Corpus Christi TX,18
Monterey-Salinas CA,18
Boise ID,18
North Platte NE,18
Syracuse NY,17
Detroit MI,17
Wausau-Rhinelander WI,17
Cheyenne WY-Scottsbluff NE,17
Sioux Falls(Mitchell) SD,17
Chico-Redding CA,17
Reno NV,17
Erie PA,17
Eureka CA,17
Waco-Temple-Bryan TX,17
Portland-Auburn ME,16
San Antonio TX,16
Austin TX,16
Denver CO,16
Bakersfield CA,16
Salt Lake City UT,16
Wichita Falls TX & Lawton OK,16
Casper-Riverton WY,16
Lubbock TX,16
Marquette MI,16
Boston MA-Manchester NH,16
Santa Barbara-Santa Maria-San Luis Obispo CA,16
Portland OR,16
Elmira NY,16
Sherman TX-Ada OK,16
Alpena MI,16
Sioux City IA,16
Los Angeles CA,16
Dallas-Ft. Worth TX,16
Mankato MN,16
Albany-Schenectady-Troy NY,16
Colorado Springs-Pueblo CO,16
Houston TX,15
Binghamton NY,15
Abilene-Sweetwater TX,15
La Crosse-Eau Claire WI,15
Minneapolis-St. Paul MN,15
Lincoln & Hastings-Kearney NE,15
Tyler-Longview(Lufkin & Nacogdoches) TX,15
Flint-Saginaw-Bay City MI,15
Green Bay-Appleton WI,15
Joplin MO-Pittsburg KS,15
Hartford & New Haven CT,15
Rochester MN-Mason City IA-Austin MN,15
Ft. Smith-Fayetteville-Springdale-Rogers AR,15
Lansing MI,15
Utica NY,15
Sacramento-Stockton-Modesto CA,15
Wichita-Hutchinson KS,15
Fresno-Visalia CA,15
Ft. Myers-Naples FL,15
Des Moines-Ames IA,14
Topeka KS,14
Wilkes Barre-Scranton PA,14
Las Vegas NV,14
Washington DC (Hagerstown MD),14
Ft. Wayne IN,14
Youngstown OH,14
Davenport IA-Rock Island-Moline IL,14
Oklahoma City OK,14
Victoria TX,14
South Bend-Elkhart IN,14
Cedar Rapids-Waterloo-Iowa City & Dubuque IA,14
Toledo OH,14
Cleveland-Akron (Canton) OH,14
Harrisburg-Lancaster-Lebanon-York PA,14
Johnstown-Altoona PA,14
Milwaukee WI,14
Harrisonburg VA,14
Rockford IL,14
Springfield MO,14
Tulsa OK,14
Peoria-Bloomington IL,14
Indianapolis IN,14
Madison WI,14
Paducah KY-Cape Girardeau MO-Harrisburg-Mount Vernon IL,14
Kansas City MO,14
San Francisco-Oakland-San Jose CA,14
Bluefield-Beckley-Oak Hill WV,14
Beaumont-Port Arthur TX,14
Grand Rapids-Kalamazoo-Battle Creek MI,13
Quincy IL-Hannibal MO-Keokuk IA,13
Columbia-Jefferson City MO,13
Springfield-Holyoke MA,13
Omaha NE,13
Charlottesville VA,13
Chicago IL,13
Lake Charles LA,13
Cincinnati OH,13
Tri-Cities TN-VA,13
Huntsville-Decatur (Florence) AL,13
Lexington KY,13
Pittsburgh PA,13
West Palm Beach-Ft. Pierce FL,13
Terre Haute IN,13
St. Louis MO,13
Evansville IN,13
Knoxville TN,13
Tampa-St. Petersburg (Sarasota) FL,13
Lima OH,13
Champaign & Springfield-Decatur IL,13
Shreveport LA,13
Chattanooga TN,13
Providence RI-New Bedford MA,13
St. Joseph MO,12
Columbus OH,12
Nashville TN,12
Louisville KY,12
Lafayette IN,12
Wheeling WV-Steubenville OH,12
Charleston-Huntington WV,12
Florence-Myrtle Beach SC,12
Clarksburg-Weston WV,12
Raleigh-Durham (Fayetteville) NC,12
Greenville-Spartanburg SC-Asheville NC-Anderson SC,12
Charlotte NC,12
Savannah GA,12
Little Rock-Pine Bluff AR,12
Ottumwa IA-Kirksville MO,12
Jonesboro AR,12
Charleston SC,12
Wilmington NC,12
Salisbury MD,12
Columbus GA,12
Baltimore MD,12
Greenville-New Bern-Washington NC,12
Dayton OH,12
Greensboro-High Point-Winston Salem NC,12
Richmond-Petersburg VA,12
Memphis TN,12
Atlanta GA,12
Miami-Ft. Lauderdale FL,12
Columbia SC,12
Norfolk-Portsmouth-Newport News VA,11
Baton Rouge LA,11
Jacksonville FL,11
Mobile AL-Pensacola (Ft. Walton Beach) FL,11
Orlando-Daytona Beach-Melbourne FL,11
Biloxi-Gulfport MS,11
Bowling Green KY,11
Panama City FL,11
New Orleans LA,11
Philadelphia PA,11
Albany GA,11
New York NY,11
Gainesville FL,11
Parkersburg WV,11
Honolulu HI,11
Birmingham AL,11
Tallahassee FL-Thomasville GA,11
Hattiesburg-Laurel MS,11
Lafayette LA,11
Columbus-Tupelo-West Point MS,11
Alexandria LA,11
Monroe LA-El Dorado AR,11
Montgomery (Selma) AL,11
Zanesville OH,11
Jackson MS,11
Jackson TN,10
Augusta GA,10
Meridian MS,10
Roanoke-Lynchburg VA,10
Dothan AL,10
Macon GA,9
Greenwood-Greenville MS,9
