Category: All categories

Month,Immigration: (United States)
2004-01,63
2004-02,57
2004-03,56
2004-04,56
2004-05,51
2004-06,47
2004-07,48
2004-08,43
2004-09,51
2004-10,52
2004-11,59
2004-12,48
2005-01,47
2005-02,52
2005-03,48
2005-04,49
2005-05,49
2005-06,40
2005-07,41
2005-08,38
2005-09,44
2005-10,48
2005-11,46
2005-12,42
2006-01,44
2006-02,42
2006-03,65
2006-04,100
2006-05,96
2006-06,50
2006-07,41
2006-08,39
2006-09,47
2006-10,51
2006-11,51
2006-12,42
2007-01,44
2007-02,48
2007-03,49
2007-04,55
2007-05,74
2007-06,69
2007-07,50
2007-08,39
2007-09,43
2007-10,46
2007-11,48
2007-12,41
2008-01,40
2008-02,41
2008-03,39
2008-04,43
2008-05,38
2008-06,30
2008-07,29
2008-08,25
2008-09,34
2008-10,37
2008-11,36
2008-12,30
2009-01,31
2009-02,36
2009-03,36
2009-04,37
2009-05,34
2009-06,31
2009-07,29
2009-08,27
2009-09,30
2009-10,34
2009-11,33
2009-12,29
2010-01,32
2010-02,33
2010-03,37
2010-04,54
2010-05,66
2010-06,37
2010-07,42
2010-08,30
2010-09,31
2010-10,32
2010-11,31
2010-12,26
2011-01,29
2011-02,30
2011-03,33
2011-04,30
2011-05,30
2011-06,29
2011-07,25
2011-08,26
2011-09,28
2011-10,31
2011-11,28
2011-12,24
2012-01,27
2012-02,27
2012-03,25
2012-04,27
2012-05,25
2012-06,31
2012-07,20
2012-08,23
2012-09,22
2012-10,25
2012-11,27
2012-12,21
2013-01,33
2013-02,34
2013-03,32
2013-04,46
2013-05,39
2013-06,45
2013-07,37
2013-08,29
2013-09,31
2013-10,34
2013-11,31
2013-12,27
2014-01,31
2014-02,34
2014-03,29
2014-04,31
2014-05,30
2014-06,30
2014-07,35
2014-08,28
2014-09,29
2014-10,28
2014-11,59
2014-12,29
2015-01,27
2015-02,30
2015-03,28
2015-04,26
2015-05,26
2015-06,21
2015-07,24
2015-08,24
2015-09,27
2015-10,27
2015-11,26
2015-12,23
2016-01,27
2016-02,26
2016-03,27
2016-04,27
2016-05,23
2016-06,23
2016-07,19
2016-08,21
2016-09,25
2016-10,25
2016-11,45
2016-12,20
2017-01,51
2017-02,75
2017-03,37
2017-04,30
2017-05,26
2017-06,22
2017-07,20
2017-08,25
2017-09,26
2017-10,25
2017-11,23
2017-12,22
2018-01,36
2018-02,33
2018-03,26
2018-04,27
2018-05,26
2018-06,49
2018-07,26
2018-08,24
2018-09,23
2018-10,29
2018-11,28
2018-12,23
2019-01,28
2019-02,26
2019-03,24
2019-04,25
2019-05,26
2019-06,25
2019-07,27
2019-08,24
2019-09,23
2019-10,24
2019-11,21
2019-12,18
2020-01,22
2020-02,23
2020-03,18
2020-04,23
2020-05,16
2020-06,18
2020-07,17
2020-08,17
2020-09,19
2020-10,18
2020-11,16
2020-12,14
2021-01,21
2021-02,21
2021-03,22
2021-04,19
2021-05,16
2021-06,16
2021-07,15
2021-08,16
2021-09,20
2021-10,20
2021-11,19
2021-12,16
2022-01,17
2022-02,18
2022-03,19
2022-04,23
2022-05,19
2022-06,16
2022-07,16
2022-08,16
2022-09,19
2022-10,20
2022-11,17
2022-12,18
2023-01,20
2023-02,21
2023-03,20
2023-04,19
2023-05,30
2023-06,19
2023-07,18
2023-08,17
2023-09,20
2023-10,21
2023-11,19
2023-12,19
2024-01,23
2024-02,25
2024-03,22
2024-04,21
2024-05,19
2024-06,20
2024-07,17
2024-08,18
2024-09,22
2024-10,25
2024-11,29
2024-12,20
2025-01,46
2025-02,41
2025-03,29
2025-04,30
2025-05,27
