City,Immigration: (1/1/04 - 11/4/08)
Dover,
Hopewell,
Waldron,
Hampshire,
Woodland,
Yorkville,
Derwood,
Winlock,
Osseo,
Edmonds,
Othello,
Potomac,
San Marcos,
Marysville,
Wheaton,
Larkspur,
Elmsford,
Elwood,
La Mesa,
Plymouth,
Towanda,
Issaquah,
West Hempstead,
Hadley,
Snohomish,
Pleasant Hill,
Elon,
Paterson,
Merced,
South Orange,
Charter Township of Clinton,
Westfield,
Palos Hills,
Mesquite,
Marion,
Edmond,
Northfield,
Chula Vista,
Salinas,
Commack,
Coronado,
Rensselaer,
New Paltz,
Claremont,
Westport,
Fullerton,
Montclair,
Arlington Heights,
Franklin,
Daly City,
Porterville,
Pomona,
Hempstead,
Normal,
Mission Viejo,
Brownsville,
Castle Rock,
New Rochelle,
McAllen,
Cerritos,
Yuma,
Garden City,
Manassas,
Chelmsford,
Smithsburg,
Grinnell,
San Bernardino,
Whittier,
Leesburg,
Allen,
Downey,
Ukiah,
Harrison,
Seaside,
North Kingstown,
Upper Marlboro,
Aurora,
Notre Dame,
Glendale,
Napa,
Lewisville,
Ridgefield,
New London,
Evanston,
Fort Lauderdale,100
Greeley,
Cuyahoga Falls,
Key West,
Joliet,
East Orange,
Chelsea,
Grass Valley,
San Juan Capistrano,
Hamilton,
Longmont,
Elizabeth,
Chester,
Decatur,
Stony Brook,
Hayward,
Edinboro,
Burlingame,
Canfield,
Everett,94
Frankfort,
Miami,93
Powell,
Fairfax,
Lake Forest,
Hanford,
Bangor,
Yonkers,
Geneseo,
Pueblo,
Madison,
Westminster,
West Palm Beach,
Harlingen,
Somerville,
Morristown,
Madison,
Las Cruces,
Chantilly,
Washington,88
Bellingham,
Marion,
Elgin,
Berkeley,
La Grange,
Arcata,
Sugar Land,
Painesville,
Chapel Hill,
Chino,
North Arlington,
West Babylon,
Redlands,
Cypress,
Newburgh,
Visalia,
Williamsburg,
Bishopville,
Danvers,
Kapolei,
DeKalb,
Alpine,
Garden Grove,
College Park,
Clifton,
Gaithersburg,
Waldwick,
McLean,82
Gambier,
Secaucus,
Edison,
Holland,
Sioux Center,
Modesto,
Norman,
Gettysburg,
New York,80
Naples,
Westminster,
Gardena,
Lee's Summit,
Burlington,
Brookings,
Dade City,
Hawthorne,
Fairfield,
Hillsboro,
Costa Mesa,
East Hartford,
Uniondale,
El Paso,79
Yellow Springs,
Shrewsbury,
Ellensburg,
Long Beach,
Libertyville,
Salem,
Tempe,78
Chandler,
Salina,
Camarillo,
Pompano Beach,
Hackensack,
Mesa,
Medford,
Charleston,
Hyattsville,
Lincolnshire,
New Haven,
Pharr,
Irvine,76
West Point,
Wooster,
Oxford,
Iowa City,
Pinole,
