Category: All categories

DMA,Immigration: (11/4/08 - 11/6/12)
Harlingen-Weslaco-Brownsville-McAllen TX,100
El Paso TX,92
Laredo TX,85
Miami-Ft. Lauderdale FL,84
New York NY,73
West Palm Beach-Ft. Pierce FL,72
San Diego CA,68
Yuma AZ-El Centro CA,68
Monterey-Salinas CA,68
Phoenix AZ,68
Los Angeles CA,67
Tucson (Sierra Vista) AZ,66
Las Vegas NV,63
Bakersfield CA,63
Washington DC (Hagerstown MD),63
Houston TX,62
Ft. Myers-Naples FL,61
Yakima-Pasco-Richland-Kennewick WA,61
Hartford & New Haven CT,60
Reno NV,59
Salt Lake City UT,59
Palm Springs CA,59
Sacramento-Stockton-Modesto CA,59
Boston MA-Manchester NH,59
Baltimore MD,56
Fresno-Visalia CA,55
Tallahassee FL-Thomasville GA,55
Orlando-Daytona Beach-Melbourne FL,55
Idaho Falls-Pocatello ID,54
Santa Barbara-Santa Maria-San Luis Obispo CA,54
San Antonio TX,54
Honolulu HI,54
Chicago IL,53
Providence RI-New Bedford MA,53
Springfield-Holyoke MA,53
Waco-Temple-Bryan TX,53
Twin Falls ID,53
Philadelphia PA,53
Seattle-Tacoma WA,53
Champaign & Springfield-Decatur IL,53
Albuquerque-Santa Fe NM,53
Denver CO,52
Sioux City IA,52
Austin TX,52
Dallas-Ft. Worth TX,52
Portland OR,51
Huntsville-Decatur (Florence) AL,51
San Francisco-Oakland-San Jose CA,51
Lincoln & Hastings-Kearney NE,51
Indianapolis IN,51
Atlanta GA,50
Odessa-Midland TX,50
North Platte NE,50
Corpus Christi TX,50
Birmingham AL,50
Tampa-St. Petersburg (Sarasota) FL,50
Lima OH,49
Victoria TX,49
Ft. Smith-Fayetteville-Springdale-Rogers AR,49
Grand Junction-Montrose CO,49
Cheyenne WY-Scottsbluff NE,49
Amarillo TX,49
Cedar Rapids-Waterloo-Iowa City & Dubuque IA,49
Albany GA,48
Salisbury MD,48
Madison WI,48
Spokane WA,48
Minneapolis-St. Paul MN,48
Syracuse NY,48
Buffalo NY,47
Boise ID,47
Harrisonburg VA,47
South Bend-Elkhart IN,47
Richmond-Petersburg VA,47
Milwaukee WI,46
Albany-Schenectady-Troy NY,46
Raleigh-Durham (Fayetteville) NC,46
Omaha NE,46
Wichita-Hutchinson KS,46
Juneau AK,46
Eureka CA,46
Mankato MN,46
Colorado Springs-Pueblo CO,46
Greensboro-High Point-Winston Salem NC,46
Nashville TN,45
Montgomery (Selma) AL,45
Kansas City MO,44
San Angelo TX,44
Savannah GA,44
Des Moines-Ames IA,44
Oklahoma City OK,44
Jacksonville FL,44
Grand Rapids-Kalamazoo-Battle Creek MI,44
Eugene OR,43
Topeka KS,43
Lubbock TX,43
Beaumont-Port Arthur TX,43
Burlington VT-Plattsburgh NY,43
Quincy IL-Hannibal MO-Keokuk IA,43
Joplin MO-Pittsburg KS,43
Casper-Riverton WY,43
Lafayette IN,42
Columbus GA,42
Sherman TX-Ada OK,42
Chico-Redding CA,42
Charlottesville VA,42
Lansing MI,42
Jackson MS,42
Columbus OH,42
Greenwood-Greenville MS,42
Detroit MI,42
Utica NY,41
Watertown NY,41
Gainesville FL,41
Rochester MN-Mason City IA-Austin MN,41
La Crosse-Eau Claire WI,41
Binghamton NY,41
Lexington KY,41
Medford-Klamath Falls OR,41
Ottumwa IA-Kirksville MO,41
Peoria-Bloomington IL,40
Columbia-Jefferson City MO,40
Mobile AL-Pensacola (Ft. Walton Beach) FL,40
Harrisburg-Lancaster-Lebanon-York PA,40
Greenville-Spartanburg SC-Asheville NC-Anderson SC,40
St. Joseph MO,40
Wilkes Barre-Scranton PA,40
Davenport IA-Rock Island-Moline IL,40
St. Louis MO,40
Bangor ME,40
Florence-Myrtle Beach SC,39
Tyler-Longview(Lufkin & Nacogdoches) TX,39
Rockford IL,39
Rochester NY,39
Cincinnati OH,39
Macon GA,39
Memphis TN,39
Charlotte NC,39
Norfolk-Portsmouth-Newport News VA,39
Green Bay-Appleton WI,39
Columbia SC,38
Clarksburg-Weston WV,38
Portland-Auburn ME,38
Wichita Falls TX & Lawton OK,38
Cleveland-Akron (Canton) OH,37
Duluth MN-Superior WI,37
Dayton OH,37
Ft. Wayne IN,37
Monroe LA-El Dorado AR,37
Minot-Bismarck-Dickinson(Williston) ND,37
Little Rock-Pine Bluff AR,37
Fairbanks AK,37
Louisville KY,36
Charleston SC,36
Wausau-Rhinelander WI,36
Helena MT,36
Tulsa OK,36
Great Falls MT,36
Dothan AL,36
Pittsburgh PA,36
Wilmington NC,35
Rapid City SD,35
Erie PA,35
Anchorage AK,35
Abilene-Sweetwater TX,35
Jackson TN,35
Zanesville OH,35
Sioux Falls(Mitchell) SD,34
New Orleans LA,34
Fargo-Valley City ND,34
Roanoke-Lynchburg VA,34
Alpena MI,34
Chattanooga TN,33
Missoula MT,33
Presque Isle ME,33
Columbus-Tupelo-West Point MS,33
Jonesboro AR,33
Flint-Saginaw-Bay City MI,33
Johnstown-Altoona PA,32
Greenville-New Bern-Washington NC,32
Alexandria LA,32
Youngstown OH,32
Terre Haute IN,32
Elmira NY,32
Panama City FL,32
Bend OR,32
Toledo OH,32
Shreveport LA,32
Marquette MI,31
Augusta GA,31
Traverse City-Cadillac MI,31
"Billings, MT",31
Bowling Green KY,31
Evansville IN,30
Butte-Bozeman MT,30
Wheeling WV-Steubenville OH,30
Biloxi-Gulfport MS,30
Baton Rouge LA,30
Knoxville TN,30
Charleston-Huntington WV,29
Lake Charles LA,29
Springfield MO,29
Paducah KY-Cape Girardeau MO-Harrisburg-Mount Vernon IL,29
Parkersburg WV,28
Meridian MS,26
Tri-Cities TN-VA,25
Lafayette LA,24
Bluefield-Beckley-Oak Hill WV,24
Hattiesburg-Laurel MS,24
Glendive MT,
