Category: All categories

DMA,immigration: (11/3/20 - 11/5/24)
Miami-Ft. Lauderdale FL,100
Washington DC (Hagerstown MD),80
El Paso TX,78
New York NY,76
West Palm Beach-Ft. Pierce FL,76
Houston TX,71
San Francisco-Oakland-San Jose CA,70
Fresno-Visalia CA,67
Ft. Myers-Naples FL,67
Harlingen-Weslaco-Brownsville-McAllen TX,66
Los Angeles CA,66
San Diego CA,64
Dallas-Ft. Worth TX,62
Laredo TX,62
Bakersfield CA,59
Palm Springs CA,59
Boston MA-Manchester NH,58
Chicago IL,58
Orlando-Daytona Beach-Melbourne FL,56
Monterey-Salinas CA,55
Yuma AZ-El Centro CA,55
Las Vegas NV,54
Yakima-Pasco-Richland-Kennewick WA,54
Austin TX,54
Seattle-Tacoma WA,53
Sacramento-Stockton-Modesto CA,53
Odessa-Midland TX,53
Santa Barbara-Santa Maria-San Luis Obispo CA,52
San Antonio TX,52
Atlanta GA,52
Tucson (Sierra Vista) AZ,50
Tampa-St. Petersburg (Sarasota) FL,50
Hartford & New Haven CT,50
Phoenix AZ,50
Baltimore MD,50
Lubbock TX,48
Providence RI-New Bedford MA,47
Reno NV,46
Amarillo TX,45
Denver CO,45
Raleigh-Durham (Fayetteville) NC,45
Waco-Temple-Bryan TX,44
Lincoln & Hastings-Kearney NE,44
Minneapolis-St. Paul MN,44
Tallahassee FL-Thomasville GA,44
Philadelphia PA,43
Salt Lake City UT,43
Columbus OH,43
Portland OR,42
Albuquerque-Santa Fe NM,41
Indianapolis IN,41
Jacksonville FL,41
Twin Falls ID,41
Greensboro-High Point-Winston Salem NC,41
Gainesville FL,40
Lafayette IN,40
Charlotte NC,40
Ft. Smith-Fayetteville-Springdale-Rogers AR,40
Honolulu HI,39
Detroit MI,39
Wichita-Hutchinson KS,39
Sioux City IA,39
Harrisonburg VA,39
San Angelo TX,38
Panama City FL,38
Oklahoma City OK,38
Des Moines-Ames IA,38
Albany-Schenectady-Troy NY,38
Madison WI,37
Mankato MN,37
Tyler-Longview(Lufkin & Nacogdoches) TX,37
Corpus Christi TX,37
Omaha NE,37
Richmond-Petersburg VA,37
Springfield-Holyoke MA,37
Milwaukee WI,36
Kansas City MO,36
New Orleans LA,36
Victoria TX,35
Charlottesville VA,35
Burlington VT-Plattsburgh NY,35
Louisville KY,35
Savannah GA,35
Nashville TN,35
Abilene-Sweetwater TX,34
Harrisburg-Lancaster-Lebanon-York PA,34
South Bend-Elkhart IN,34
Cincinnati OH,34
Eugene OR,34
Cedar Rapids-Waterloo-Iowa City & Dubuque IA,34
Syracuse NY,34
Memphis TN,34
Champaign & Springfield-Decatur IL,34
Florence-Myrtle Beach SC,33
Colorado Springs-Pueblo CO,33
Tulsa OK,33
Grand Junction-Montrose CO,33
Salisbury MD,33
Boise ID,32
Beaumont-Port Arthur TX,32
Rochester MN-Mason City IA-Austin MN,32
Portland-Auburn ME,32
Grand Rapids-Kalamazoo-Battle Creek MI,32
Chico-Redding CA,32
Norfolk-Portsmouth-Newport News VA,32
Columbia SC,32
Cheyenne WY-Scottsbluff NE,32
Sioux Falls(Mitchell) SD,32
Juneau AK,32
Baton Rouge LA,31
Peoria-Bloomington IL,31
Greenville-Spartanburg SC-Asheville NC-Anderson SC,31
Buffalo NY,31
Fargo-Valley City ND,31
Bowling Green KY,31
Rochester NY,31
Chattanooga TN,31
Idaho Falls-Pocatello ID,31
Eureka CA,31
Meridian MS,31
Charleston SC,31
Albany GA,31
Spokane WA,30
Lansing MI,30
Mobile AL-Pensacola (Ft. Walton Beach) FL,30
Ottumwa IA-Kirksville MO,30
Wichita Falls TX & Lawton OK,30
Dayton OH,30
Binghamton NY,30
Knoxville TN,30
St. Joseph MO,30
Lake Charles LA,30
Wilkes Barre-Scranton PA,29
Sherman TX-Ada OK,29
Rockford IL,29
Roanoke-Lynchburg VA,29
Shreveport LA,29
Huntsville-Decatur (Florence) AL,29
Montgomery (Selma) AL,29
Lexington KY,29
Glendive MT,29
Columbus GA,29
Fairbanks AK,28
St. Louis MO,28
Little Rock-Pine Bluff AR,28
Presque Isle ME,28
Cleveland-Akron (Canton) OH,28
Pittsburgh PA,28
Macon GA,28
Topeka KS,27
Minot-Bismarck-Dickinson(Williston) ND,27
Watertown NY,27
Birmingham AL,27
Anchorage AK,27
Utica NY,27
Alexandria LA,27
Joplin MO-Pittsburg KS,27
North Platte NE,27
Columbia-Jefferson City MO,27
Hattiesburg-Laurel MS,26
Greenville-New Bern-Washington NC,26
Green Bay-Appleton WI,26
Biloxi-Gulfport MS,25
Greenwood-Greenville MS,25
Medford-Klamath Falls OR,25
Rapid City SD,25
Bend OR,25
Toledo OH,25
Monroe LA-El Dorado AR,25
Davenport IA-Rock Island-Moline IL,24
Jackson TN,24
Bangor ME,24
Casper-Riverton WY,24
Jackson MS,24
Lafayette LA,24
Erie PA,24
Butte-Bozeman MT,24
Marquette MI,24
Ft. Wayne IN,24
La Crosse-Eau Claire WI,23
Lima OH,23
Elmira NY,23
Wilmington NC,23
Augusta GA,23
Missoula MT,23
Columbus-Tupelo-West Point MS,22
Great Falls MT,22
Springfield MO,22
Flint-Saginaw-Bay City MI,22
Dothan AL,22
Evansville IN,21
Helena MT,21
Jonesboro AR,21
Terre Haute IN,21
Johnstown-Altoona PA,21
Wausau-Rhinelander WI,21
"Billings, MT",20
Paducah KY-Cape Girardeau MO-Harrisburg-Mount Vernon IL,20
Duluth MN-Superior WI,20
Quincy IL-Hannibal MO-Keokuk IA,19
Youngstown OH,18
Traverse City-Cadillac MI,18
Clarksburg-Weston WV,18
Zanesville OH,18
Tri-Cities TN-VA,18
Bluefield-Beckley-Oak Hill WV,18
Wheeling WV-Steubenville OH,17
Charleston-Huntington WV,15
Alpena MI,15
Parkersburg WV,14
