DMA,Immigration: (11/8/23 - 11/8/24)
Miami-Ft. Lauderdale FL,100
San Francisco-Oakland-San Jose CA,99
Houston TX,91
El Paso TX,88
New York NY,87
Washington DC (Hagerstown MD),87
Fresno-Visalia CA,85
Laredo TX,84
Harlingen-Weslaco-Brownsville-McAllen TX,83
Los Angeles CA,79
West Palm Beach-Ft. Pierce FL,79
Monterey-Salinas CA,79
San Diego CA,77
Bakersfield CA,77
Ft. Myers-Naples FL,75
Boston MA-Manchester NH,74
Dallas-Ft. Worth TX,73
Sacramento-Stockton-Modesto CA,73
Austin TX,72
Chicago IL,71
Providence RI-New Bedford MA,71
San Antonio TX,71
Hartford & New Haven CT,71
Denver CO,70
Yuma AZ-El Centro CA,69
Seattle-Tacoma WA,69
Tucson (Sierra Vista) AZ,68
Palm Springs CA,68
Las Vegas NV,67
Baltimore MD,66
Santa Barbara-Santa Maria-San Luis Obispo CA,65
Phoenix AZ,65
Orlando-Daytona Beach-Melbourne FL,65
Atlanta GA,64
Yakima-Pasco-Richland-Kennewick WA,64
Waco-Temple-Bryan TX,63
Philadelphia PA,63
Madison WI,62
Tampa-St. Petersburg (Sarasota) FL,62
Reno NV,61
Minneapolis-St. Paul MN,61
Odessa-Midland TX,61
Twin Falls ID,61
Indianapolis IN,61
Harrisonburg VA,61
Raleigh-Durham (Fayetteville) NC,61
Mankato MN,61
Columbus OH,60
Charlotte NC,59
Oklahoma City OK,59
Salt Lake City UT,59
New Orleans LA,58
Sioux City IA,58
Honolulu HI,58
Albany-Schenectady-Troy NY,58
Portland-Auburn ME,58
Springfield-Holyoke MA,58
Ft. Smith-Fayetteville-Springdale-Rogers AR,57
Burlington VT-Plattsburgh NY,57
Glendive MT,57
Charlottesville VA,57
Amarillo TX,57
Portland OR,56
Jacksonville FL,56
Victoria TX,56
Des Moines-Ames IA,56
Milwaukee WI,55
Eureka CA,55
Omaha NE,55
Greensboro-High Point-Winston Salem NC,55
Cincinnati OH,55
Rockford IL,55
Albuquerque-Santa Fe NM,55
Beaumont-Port Arthur TX,55
Lafayette IN,54
Detroit MI,54
Syracuse NY,54
Grand Junction-Montrose CO,54
Marquette MI,53
Chico-Redding CA,53
North Platte NE,53
Tulsa OK,53
Nashville TN,53
San Angelo TX,53
Florence-Myrtle Beach SC,53
Lincoln & Hastings-Kearney NE,53
Ottumwa IA-Kirksville MO,53
Sherman TX-Ada OK,52
Harrisburg-Lancaster-Lebanon-York PA,52
Spokane WA,52
Wichita-Hutchinson KS,52
Panama City FL,52
Gainesville FL,52
Rochester MN-Mason City IA-Austin MN,52
Cedar Rapids-Waterloo-Iowa City & Dubuque IA,52
Colorado Springs-Pueblo CO,52
Lubbock TX,51
Binghamton NY,51
Greenville-Spartanburg SC-Asheville NC-Anderson SC,51
Kansas City MO,51
South Bend-Elkhart IN,51
Watertown NY,51
Baton Rouge LA,51
Dayton OH,51
Louisville KY,51
Wilkes Barre-Scranton PA,51
Idaho Falls-Pocatello ID,50
Corpus Christi TX,50
Wichita Falls TX & Lawton OK,50
Richmond-Petersburg VA,50
Utica NY,50
Savannah GA,50
St. Joseph MO,49
Tyler-Longview(Lufkin & Nacogdoches) TX,49
Grand Rapids-Kalamazoo-Battle Creek MI,49
Bowling Green KY,49
Juneau AK,49
Buffalo NY,49
Green Bay-Appleton WI,49
Lexington KY,49
Bangor ME,49
Columbia-Jefferson City MO,49
Columbia SC,48
Pittsburgh PA,48
Memphis TN,48
Mobile AL-Pensacola (Ft. Walton Beach) FL,48
Boise ID,48
Tallahassee FL-Thomasville GA,48
Peoria-Bloomington IL,48
Salisbury MD,48
Cheyenne WY-Scottsbluff NE,48
St. Louis MO,48
Huntsville-Decatur (Florence) AL,47
Toledo OH,47
Knoxville TN,47
Lansing MI,47
Casper-Riverton WY,47
Medford-Klamath Falls OR,46
Albany GA,46
Cleveland-Akron (Canton) OH,46
Roanoke-Lynchburg VA,46
Topeka KS,46
Davenport IA-Rock Island-Moline IL,46
Norfolk-Portsmouth-Newport News VA,46
Jackson TN,45
Abilene-Sweetwater TX,45
Charleston SC,45
Champaign & Springfield-Decatur IL,45
Rochester NY,45
Helena MT,45
Birmingham AL,45
Little Rock-Pine Bluff AR,45
Duluth MN-Superior WI,45
Alpena MI,45
Joplin MO-Pittsburg KS,45
Erie PA,45
Sioux Falls(Mitchell) SD,45
Elmira NY,44
Anchorage AK,44
Flint-Saginaw-Bay City MI,44
Eugene OR,44
La Crosse-Eau Claire WI,44
Missoula MT,44
Fargo-Valley City ND,44
Chattanooga TN,44
Butte-Bozeman MT,44
Presque Isle ME,44
Wilmington NC,43
Wausau-Rhinelander WI,43
Hattiesburg-Laurel MS,43
Rapid City SD,43
Lima OH,43
Alexandria LA,43
Fairbanks AK,43
Shreveport LA,43
Meridian MS,42
Columbus GA,42
Lake Charles LA,42
Quincy IL-Hannibal MO-Keokuk IA,42
Great Falls MT,41
Montgomery (Selma) AL,41
Wheeling WV-Steubenville OH,41
Ft. Wayne IN,41
Columbus-Tupelo-West Point MS,40
Johnstown-Altoona PA,40
Youngstown OH,40
Biloxi-Gulfport MS,40
Traverse City-Cadillac MI,40
Macon GA,39
Lafayette LA,39
Bend OR,39
Evansville IN,39
Monroe LA-El Dorado AR,39
Minot-Bismarck-Dickinson(Williston) ND,39
Dothan AL,39
"Billings, MT",39
Greenville-New Bern-Washington NC,39
Greenwood-Greenville MS,39
Springfield MO,38
Jonesboro AR,38
Terre Haute IN,37
Augusta GA,37
Paducah KY-Cape Girardeau MO-Harrisburg-Mount Vernon IL,37
Clarksburg-Weston WV,37
Jackson MS,36
Parkersburg WV,35
Bluefield-Beckley-Oak Hill WV,35
Tri-Cities TN-VA,35
Zanesville OH,33
Charleston-Huntington WV,32
