Region,Immigration: (11/6/12 - 11/8/16)
District of Columbia,100
New York,82
New Jersey,82
Maryland,73
California,73
Massachusetts,71
Connecticut,68
Florida,61
Texas,60
Nevada,60
Illinois,60
Arizona,56
Washington,55
Colorado,54
Delaware,52
Virginia,52
Rhode Island,52
New Mexico,51
New Hampshire,50
Hawaii,49
Utah,48
Vermont,47
Wisconsin,46
Nebraska,46
Pennsylvania,46
Minnesota,45
Indiana,45
Idaho,45
North Carolina,45
Iowa,44
Wyoming,44
Georgia,43
Maine,43
Michigan,43
Arkansas,42
South Carolina,41
Kansas,40
Oklahoma,40
Alaska,40
North Dakota,38
Ohio,38
Oregon,38
Missouri,37
Tennessee,36
South Dakota,36
Kentucky,36
Alabama,36
Louisiana,34
Mississippi,33
West Virginia,29
Montana,28
