Category: All categories

Region,Immigration: (11/6/16 - 11/3/20)
District of Columbia,100
New York,61
California,61
New Jersey,60
Massachusetts,59
Texas,55
Maryland,54
Florida,52
Connecticut,52
Virginia,52
Illinois,50
Washington,49
Nevada,47
Rhode Island,46
Arizona,46
Oregon,45
Colorado,44
Minnesota,43
Kansas,42
New Mexico,41
Maine,40
Delaware,40
Nebraska,40
North Carolina,40
Georgia,40
Utah,40
Hawaii,39
Vermont,39
Iowa,38
Wisconsin,38
Pennsylvania,37
New Hampshire,37
Idaho,36
Michigan,36
Oklahoma,35
Indiana,35
Alaska,33
Wyoming,33
Arkansas,33
South Carolina,33
South Dakota,32
North Dakota,32
Tennessee,31
Louisiana,31
Ohio,31
Missouri,31
Kentucky,29
Alabama,28
Mississippi,27
Montana,27
West Virginia,25
