"","Region","query_incidence","daterange","City","DMA"
"1","District of Columbia",100,"04-08",NA,NA
"2","New York",79,"04-08",NA,NA
"3","Maryland",73,"04-08",NA,NA
"4","California",73,"04-08",NA,NA
"5","New Jersey",72,"04-08",NA,NA
"6","Illinois",68,"04-08",NA,NA
"7","Arizona",68,"04-08",NA,NA
"8","Florida",67,"04-08",NA,NA
"9","Nevada",65,"04-08",NA,NA
"10","Connecticut",65,"04-08",NA,NA
"11","Massachusetts",62,"04-08",NA,NA
"12","Washington",61,"04-08",NA,NA
"13","Texas",61,"04-08",NA,NA
"14","Colorado",60,"04-08",NA,NA
"15","Minnesota",60,"04-08",NA,NA
"16","Rhode Island",59,"04-08",NA,NA
"17","Utah",58,"04-08",NA,NA
"18","Virginia",58,"04-08",NA,NA
"19","Hawaii",56,"04-08",NA,NA
"20","Georgia",56,"04-08",NA,NA
"21","Iowa",56,"04-08",NA,NA
"22","New Mexico",55,"04-08",NA,NA
"23","Nebraska",54,"04-08",NA,NA
"24","Michigan",53,"04-08",NA,NA
"25","Indiana",52,"04-08",NA,NA
"26","Oregon",52,"04-08",NA,NA
"27","Delaware",52,"04-08",NA,NA
"28","Wisconsin",50,"04-08",NA,NA
"29","North Carolina",50,"04-08",NA,NA
"30","Maine",49,"04-08",NA,NA
"31","Kansas",49,"04-08",NA,NA
"32","Pennsylvania",49,"04-08",NA,NA
"33","New Hampshire",48,"04-08",NA,NA
"34","Missouri",47,"04-08",NA,NA
"35","Ohio",47,"04-08",NA,NA
"36","Vermont",46,"04-08",NA,NA
"37","Wyoming",46,"04-08",NA,NA
"38","Oklahoma",46,"04-08",NA,NA
"39","South Carolina",45,"04-08",NA,NA
"40","Idaho",44,"04-08",NA,NA
"41","Tennessee",43,"04-08",NA,NA
"42","Arkansas",42,"04-08",NA,NA
"43","Kentucky",42,"04-08",NA,NA
"44","North Dakota",41,"04-08",NA,NA
"45","Alaska",39,"04-08",NA,NA
"46","South Dakota",38,"04-08",NA,NA
"47","Montana",38,"04-08",NA,NA
"48","Alabama",38,"04-08",NA,NA
"49","Mississippi",36,"04-08",NA,NA
"50","Louisiana",35,"04-08",NA,NA
"51","West Virginia",33,"04-08",NA,NA
"52",NA,NA,"04-08","Dover",NA
"53",NA,NA,"04-08","Hopewell",NA
"54",NA,NA,"04-08","Waldron",NA
"55",NA,NA,"04-08","Hampshire",NA
"56",NA,NA,"04-08","Woodland",NA
"57",NA,NA,"04-08","Yorkville",NA
"58",NA,NA,"04-08","Derwood",NA
"59",NA,NA,"04-08","Winlock",NA
"60",NA,NA,"04-08","Osseo",NA
"61",NA,NA,"04-08","Edmonds",NA
"62",NA,NA,"04-08","Othello",NA
"63",NA,NA,"04-08","Potomac",NA
"64",NA,NA,"04-08","San Marcos",NA
"65",NA,NA,"04-08","Marysville",NA
"66",NA,NA,"04-08","Wheaton",NA
"67",NA,NA,"04-08","Larkspur",NA
"68",NA,NA,"04-08","Elmsford",NA
