"","city","change_query_incidence","state","county_name","office","swing","lat_long.lon","lat_long.lat"
"1","ADDISON",NA,"VERMONT","ADDISON","US PRESIDENT",  -945, -73.30232,  44.08902
"2","ALBANY",NA,"WYOMING","ALBANY","US PRESIDENT",NA,-106.13196,  41.18414
"3","ALBANY",NA,"WYOMING","ALBANY","US PRESIDENT",NA,-106.13196,  41.18414
"4","ALBANY",NA,"NEW YORK","ALBANY","US PRESIDENT", -9959, -73.75447,  42.65181
"5","ALEXANDRIA",NA,"VIRGINIA","ALEXANDRIA","US PRESIDENT",  1726, -77.04353,  38.80469
"6","ALLEN",NA,"KANSAS","ALLEN","US PRESIDENT",  -236, -96.16972,  38.65612
"7","ALLEN",NA,"INDIANA","ALLEN","US PRESIDENT",  6820, -85.02335,  41.09326
"8","ALLEN",NA,"LOUISIANA","ALLEN","US PRESIDENT",   162, -93.28833,  31.83528
"9","ALLEN",NA,"KENTUCKY","ALLEN","US PRESIDENT",   -74, -82.72797,  37.61005
"10","ALLEN",NA,"OHIO","ALLEN","US PRESIDENT",  -439, -84.14351,  40.76995
"11","ALPINE",NA,"CALIFORNIA","ALPINE","US PRESIDENT",NA,-116.76641,  32.83505
"12","ALPINE",NA,"CALIFORNIA","ALPINE","US PRESIDENT",   -33,-116.76641,  32.83505
"13","AMHERST",NA,"VIRGINIA","AMHERST","US PRESIDENT",   406, -79.05141,  37.58514
"14","ARLINGTON",NA,"VIRGINIA","ARLINGTON","US PRESIDENT",  2275, -77.08312,  38.88271
"15","AURORA",NA,"SOUTH DAKOTA","AURORA","US PRESIDENT",    10, -96.68561,  44.28413
"16","BARNSTABLE",NA,"MASSACHUSETTS","BARNSTABLE","US PRESIDENT", -3442, -70.28785,  41.66526
"17","BERKELEY",NA,"SOUTH CAROLINA","BERKELEY","US PRESIDENT",  2270, -80.00877,  33.12606
"18","BERKELEY",NA,"WEST VIRGINIA","BERKELEY","US PRESIDENT",  1315, -78.06519,  39.48856
"19","BROOKINGS",NA,"SOUTH DAKOTA","BROOKINGS","US PRESIDENT",NA, -96.79839,  44.31136
"20","BROOKINGS",NA,"SOUTH DAKOTA","BROOKINGS","US PRESIDENT",NA, -96.79839,  44.31136
"21","BURLINGTON",NA,"NEW JERSEY","BURLINGTON","US PRESIDENT", -4842, -74.86618,  40.07053
"22","CARSON",NA,"TEXAS","CARSON","US PRESIDENT",   -97,-101.43391,  35.45787
"23","CARTERET",NA,"NORTH CAROLINA","CARTERET","US PRESIDENT",  1644, -76.54882,  34.90193
"24","CHARLESTON",NA,"SOUTH CAROLINA","CHARLESTON","US PRESIDENT", -1211, -79.93197,  32.78332
"25","CHARLESTON",NA,"SOUTH CAROLINA","CHARLESTON","US PRESIDENT",NA, -79.93197,  32.78332
"26","CHESTER",NA,"SOUTH CAROLINA","CHESTER","US PRESIDENT",   413, -81.21426,  34.70486
"27","CHESTER",NA,"SOUTH CAROLINA","CHESTER","US PRESIDENT",NA, -81.21426,  34.70486
"28","CHESTER",NA,"PENNSYLVANIA","CHESTER","US PRESIDENT",NA, -75.35575,  39.84956
"29","CHESTER",NA,"PENNSYLVANIA","CHESTER","US PRESIDENT",NA, -75.35575,  39.84956
"30","CHESTER",NA,"TENNESSEE","CHESTER","US PRESIDENT",    97, -88.67236,  35.42709
"31","DAVIE",NA,"NORTH CAROLINA","DAVIE","US PRESIDENT",   706, -80.58828,  35.93670
"32","DAVIS",NA,"IOWA","DAVIS","US PRESIDENT",   109, -92.38136,  40.69138
"33","DAVIS",NA,"UTAH","DAVIS","US PRESIDENT", 19520,-112.09533,  40.96288
"34","DECATUR",NA,"IOWA","DECATUR","US PRESIDENT",   -73, -93.83383,  40.74194
"35","DECATUR",NA,"INDIANA","DECATUR","US PRESIDENT",   670, -84.92913,  40.83060
"36","DECATUR",NA,"TENNESSEE","DECATUR","US PRESIDENT",  -227, -84.79022,  35.51479
"37","DECATUR",NA,"GEORGIA","DECATUR","US PRESIDENT",   -66, -84.29631,  33.77483
"38","DECATUR",NA,"KANSAS","DECATUR","US PRESIDENT",    29,-100.52961,  39.74804
"39","DECATUR",NA,"TENNESSEE","DECATUR","US PRESIDENT",NA, -84.79022,  35.51479
"40","DEKALB",NA,"ILLINOIS","DEKALB","US PRESIDENT",NA, -88.74991,  41.92954
"41","DEKALB",NA,"INDIANA","DEKALB","US PRESIDENT",   807, -85.02335,  41.41389
"42","DEKALB",NA,"ILLINOIS","DEKALB","US PRESIDENT", -4577, -88.74991,  41.92954
"43","DEKALB",NA,"TENNESSEE","DEKALB","US PRESIDENT",NA, -85.80766,  35.97284
"44","DEKALB",NA,"GEORGIA","DEKALB","US PRESIDENT",-16370, -84.22788,  33.79564
"45","DEKALB",NA,"TENNESSEE","DEKALB","US PRESIDENT",    58, -85.80766,  35.97284
"46","DEKALB",NA,"ALABAMA","DEKALB","US PRESIDENT",   374, -85.68458,  34.52114
"47","DEKALB",NA,"MISSOURI","DEKALB","US PRESIDENT",   167, -94.92524,  39.58694
"48","EL PASO",NA,"COLORADO","EL PASO","US PRESIDENT", 10634,-104.47233,  38.91083
"49","EL PASO",NA,"TEXAS","EL PASO","US PRESIDENT", -9069,-106.48502,  31.76188
"50","FAIRFAX",NA,"VIRGINIA","FAIRFAX","US PRESIDENT",NA, -77.30530,  38.84599
"51","FAIRFAX",NA,"VIRGINIA","FAIRFAX","US PRESIDENT",  4914, -77.30530,  38.84599
"52","FAIRFIELD",NA,"SOUTH CAROLINA","FAIRFIELD","US PRESIDENT",   186, -81.07547,  34.44783
"53","FAIRFIELD",NA,"CONNECTICUT","FAIRFIELD","US PRESIDENT",-24026, -73.26126,  41.14084
"54","FAIRFIELD",NA,"OHIO","FAIRFIELD","US PRESIDENT",  -546, -84.56032,  39.34547
"55","FRANKLIN",NA,"MAINE","FRANKLIN","US PRESIDENT",NA, -68.23163,  44.58728
"56","FRANKLIN",NA,"KENTUCKY","FRANKLIN","US PRESIDENT",NA, -86.57856,  36.71879
"57","FRANKLIN",NA,"NEW YORK","FRANKLIN","US PRESIDENT",NA, -75.16517,  42.34064
"58","FRANKLIN",NA,"NEBRASKA","FRANKLIN","US PRESIDENT",    33, -98.95258,  40.09612
"59","FRANKLIN",NA,"FLORIDA","FRANKLIN","US PRESIDENT",  -248, -85.02797,  29.74827
"60","FRANKLIN",NA,"IOWA","FRANKLIN","US PRESIDENT",NA, -91.51127,  40.66809
"61","FRANKLIN",NA,"NEW YORK","FRANKLIN","US PRESIDENT", -1039, -75.16517,  42.34064
"62","FRANKLIN",NA,"KENTUCKY","FRANKLIN","US PRESIDENT",NA, -86.57856,  36.71879
"63","FRANKLIN",NA,"MISSISSIPPI","FRANKLIN","US PRESIDENT",  -174, -91.09816,  31.42156
"64","FRANKLIN",NA,"LOUISIANA","FRANKLIN","US PRESIDENT",    16, -91.50150,  29.79604
"65","FRANKLIN",NA,"VIRGINIA","FRANKLIN","US PRESIDENT",  1304, -76.92246,  36.67765
"66","FRANKLIN",NA,"GEORGIA","FRANKLIN","US PRESIDENT",    45, -85.09800,  33.27762
"67","FRANKLIN",NA,"VERMONT","FRANKLIN","US PRESIDENT", -1122, -72.91655,  44.98126
"68","FRANKLIN",NA,"MISSOURI","FRANKLIN","US PRESIDENT",  2041, -92.75324,  39.01170
"69","FRANKLIN",NA,"IDAHO","FRANKLIN","US PRESIDENT",   949,-111.80717,  42.01354
"70","FRANKLIN",NA,"NORTH CAROLINA","FRANKLIN","US PRESIDENT",  1330, -83.38154,  35.18232
"71","FRANKLIN",NA,"ILLINOIS","FRANKLIN","US PRESIDENT",   863, -90.04400,  39.62033
"72","FRANKLIN",NA,"MAINE","FRANKLIN","US PRESIDENT",  -746, -68.23163,  44.58728
"73","FRANKLIN",NA,"ILLINOIS","FRANKLIN","US PRESIDENT",NA, -90.04400,  39.62033
"74","FRANKLIN",NA,"ALABAMA","FRANKLIN","US PRESIDENT",  -481, -85.80246,  32.47847
