"","county","swing","change_query_incidence","state","lat_long.lon","lat_long.lat"
"1","BROWN",8.431329e-03,NA,"ILLINOIS", -90.71527,  39.93796
"2","ALLEN",4.530035e-02,NA,"INDIANA", -85.02335,  41.09326
"3","BROWN",1.027288e-02,NA,"INDIANA", -86.17518,  39.17497
"4","ALLEN",1.061381e-02,NA,"KANSAS", -96.16972,  38.65612
"5","BROWN",2.388983e-02,NA,"KANSAS", -95.47778,  39.77005
"6","ALLEN",5.319952e-03,NA,"KENTUCKY", -82.72797,  37.61005
"7","ALLEN",1.698050e-02,NA,"LOUISIANA", -93.28833,  31.83528
"8","BROWN",3.052141e-02,NA,"MINNESOTA", -94.64503,  44.22944
"9","BROWN",1.551113e-02,NA,"NEBRASKA", -99.99123,  42.50529
"10","ALLEN",4.292999e-03,NA,"OHIO", -84.14351,  40.76995
"11","BROWN",2.002982e-02,NA,"OHIO", -84.08016,  40.13739
"12","BROWN",2.003870e-02,NA,"SOUTH DAKOTA", -98.25427,  45.75815
"13","BROWN",1.445317e-02,NA,"TEXAS", -98.92453,  31.77051
"14","BROWN",2.073831e-02,NA,"WISCONSIN", -87.93348,  44.45617
"15","EL PASO",6.792531e-02,NA,"COLORADO",-104.47233,  38.91083
"16","EL PASO",4.833284e-02,NA,"TEXAS",-106.48502,  31.76188
"17","DALE",2.330274e-02,NA,"ALABAMA", -85.68458,  31.46453
"18","LAUDERDALE",1.012868e-02,NA,"ALABAMA", -87.65811,  34.88409
"19","MIAMI",1.136603e-02,NA,"INDIANA", -86.10649,  40.61405
"20","MIAMI",1.369555e-02,NA,"KANSAS", -94.81060,  38.63817
"21","LAUDERDALE",3.059906e-02,NA,"MISSISSIPPI", -88.51171,  32.52085
"22","MIAMI",1.326587e-02,NA,"OHIO", -84.73449,  39.50875
"23","LAUDERDALE",2.478741e-02,NA,"TENNESSEE", -89.66281,  35.78388
"24","YORK",3.935973e-02,NA,"MAINE", -70.64826,  43.16175
"25","YORK",3.246502e-02,NA,"NEBRASKA", -97.59209,  40.86739
"26","NEW YORK",2.294442e-02,NA,"NEW YORK", -74.00597,  40.71278
"27","YORK",2.745170e-02,NA,"PENNSYLVANIA", -76.72696,  39.96107
"28","YORK",2.240461e-01,NA,"SOUTH CAROLINA", -81.24202,  34.99430
"29","YORK",1.234785e-01,NA,"VIRGINIA", -76.50967,  37.23876
"30","PALM BEACH",1.468669e-02,NA,"FLORIDA", -80.03643,  26.70562
"31","PIERCE",1.597207e-01,NA,"GEORGIA", -82.17136,  31.34381
"32","PIERCE",1.052507e-02,NA,"NEBRASKA", -97.52672,  42.19917
"33","PIERCE",7.984725e-03,NA,"NORTH DAKOTA",-100.69235,  46.78999
"34","PIERCE",1.762604e-02,NA,"WASHINGTON",-122.12953,  47.06759
"35","PIERCE",6.458381e-03,NA,"WISCONSIN", -87.49011,  44.53212
"36","SAN DIEGO",1.028345e-02,NA,"CALIFORNIA",-117.16108,  32.71574
"37","YUMA",1.229736e-02,NA,"ARIZONA",-114.62769,  32.69265
"38","YUMA",1.812221e-03,NA,"COLORADO",-102.72521,  40.12221
"39","MONTEREY",7.463835e-03,NA,"CALIFORNIA",-121.89777,  36.59729
"40","LOS ANGELES",3.640900e-02,NA,"CALIFORNIA",-118.24264,  34.05491
"41","SIERRA",2.549395e-02,NA,"CALIFORNIA",-120.25127,  39.55328
"42","SIERRA",4.127973e-02,NA,"NEW MEXICO",-107.10119,  33.13460
"43","BAKER",2.419776e-02,NA,"FLORIDA", -86.68134,  30.79713
"44","BAKER",1.728919e-01,NA,"GEORGIA", -84.48026,  31.28160
"45","BAKER",1.770093e-02,NA,"OREGON",-117.83438,  44.77487
"46","WASHINGTON",2.613072e-02,NA,"ALABAMA", -88.24612,  31.34223
"47","WASHINGTON",2.478320e-01,NA,"ARKANSAS", -93.68302,  33.77484
"48","WASHINGTON",1.042842e-02,NA,"COLORADO",-102.98962,  40.06374
"49","WASHINGTON",1.567231e-02,NA,"FLORIDA", -85.68458,  30.54874
"50","WASHINGTON",2.127560e-01,NA,"GEORGIA", -82.73931,  33.73679
"51","WASHINGTON",1.410018e-02,NA,"IDAHO",-116.75486,  44.36587
"52","WASHINGTON",5.280940e-03,NA,"ILLINOIS", -89.40731,  40.70365
"53","WASHINGTON",9.072413e-03,NA,"INDIANA", -87.17279,  38.65922
"54","WASHINGTON",1.208015e-01,NA,"IOWA", -91.69164,  41.30141
"55","WASHINGTON",1.742951e-02,NA,"KANSAS", -97.05086,  39.81806
"56","WASHINGTON",6.998621e-03,NA,"KENTUCKY", -83.80850,  38.61615
"57","WASHINGTON",2.229102e-03,NA,"LOUISIANA", -92.05706,  30.61631
"58","WASHINGTON",1.752813e-03,NA,"MAINE", -69.36766,  44.27356
"59","WASHINGTON",2.563484e-01,NA,"MARYLAND", -77.69942,  39.61305
"60","WASHINGTON",3.715753e-02,NA,"MINNESOTA", -92.88014,  45.18815
"61","WASHINGTON",1.774491e-02,NA,"MISSISSIPPI", -91.29928,  31.57878
"62","WASHINGTON",3.149140e-02,NA,"MISSOURI", -91.01209,  38.55811
"63","WASHINGTON",3.175064e-02,NA,"NEBRASKA", -96.20808,  41.39750
"64","WASHINGTON",1.980197e-02,NA,"NEW YORK", -73.67717,  41.78757
"65","WASHINGTON",1.052362e-01,NA,"NORTH CAROLINA", -77.05217,  35.54655
"66","WASHINGTON",1.174421e-02,NA,"OHIO", -83.43758,  39.53737
"67","WASHINGTON",3.194238e-01,NA,"OKLAHOMA", -97.48448,  35.05896
"68","WASHINGTON",3.125061e-02,NA,"OREGON",-123.13860,  45.54696
"69","WASHINGTON",1.307468e-02,NA,"PENNSYLVANIA", -80.24617,  40.17396
"70","WASHINGTON",4.564835e-02,NA,"RHODE ISLAND", -71.66734,  41.45681
"71","WASHINGTON",3.997125e-02,NA,"TENNESSEE", -82.51858,  36.33210
"72","WASHINGTON",1.138704e-02,NA,"TEXAS", -96.36516,  30.23530
"73","WASHINGTON",NA,NA,"UTAH",-113.50829,  37.13054
"74","WASHINGTON",4.309306e-02,NA,"VERMONT", -72.43260,  44.10562
